Table,Fieldname,Data Source,Datatype,Key,Percentage Null values
athletes,source_id,mobii,object,PK,0.0
athletes,tracking_id,mobii,object,PK,0.0
athletes,player_name,mobii,object,PK,100.0
athletes,nick_name,mobii,object,,0.0
athletes,birth_country,mobii,object,,100.0
athletes,date_of_birth,mobii,object,,100.0
athletes,isactive,mobii,object,,100.0
athletes,abbr,mobii,object,,100.0
athletes,athstat_name,mobii,object,,100.0
athletes,athstat_firstname,mobii,object,,0.0
athletes,athstat_lastname,mobii,object,,0.0
athletes,athstat_middleinitial,mobii,object,,100.0
athletes,general_comments,mobii,object,,100.0
athletes,team_id,mobii,object,PK,0.0
athletes,age,mobii,object,,100.0
athletes,height,mobii,object,,100.0
athletes,weight,mobii,object,,100.0
athletes,best_match_full_name,mobii,object,,100.0
athletes,best_match_first_name,mobii,object,,100.0
athletes,best_match_last_name,mobii,object,,100.0
athletes,best_match_team,mobii,object,,100.0
athletes,best_match_gender,mobii,object,,100.0
athletes,external_source,mobii,object,,100.0
athletes,best_match_iaaid,mobii,object,,100.0
athletes,unified_id,mobii,object,,100.0
athletes,hidden,mobii,object,,100.0
athletes,kc_id,mobii,object,,100.0
athletes,kcsynced,mobii,object,,100.0
athletes,gender,mobii,object,,0.0
athletes,price,mobii,object,,100.0
athletes,power_rank_rating,mobii,float64,,0.0
athletes,region,mobii,object,,100.0
athletes,position_class,mobii,object,,100.0
athletes,data_source,mobii,object,,0.0
athletes,position,mobii,object,PK,0.0
athletes,on_light_image_url,mobii,object,,100.0
athletes,on_dark_image_url,mobii,object,,100.0
athletes,image_url,mobii,object,,0.10752688172043011
